,budget,genres,id,imdb_id,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
0,300000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",299536.0,tt4154756,Avengers: Infinity War,76.719,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-04-25,2046239637.0,149.0,Avengers: Infinity War,8.3,15929.0
1,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",284054.0,tt1825683,Black Panther,36.027,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-02-13,1346739107.0,134.0,Black Panther,7.4,13710.0
2,170000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",351286.0,tt4881806,Jurassic World: Fallen Kingdom,34.309,"[{'id': 56, 'logo_path': '/cEaxANEisCqeEoRvODv2dO1I0iI.png', 'name': 'Amblin Entertainment', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Entertainment', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 10338, 'logo_path': '/el2ap6lvjcEDdbyJoB3oKiYgXu9.png', 'name': 'Perfect World Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-06,1303459585.0,129.0,Jurassic World: Fallen Kingdom,6.5,6615.0
3,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",260513.0,tt3606756,Incredibles 2,26.936,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-14,1241891456.0,118.0,Incredibles 2,7.5,7277.0
4,160000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",297802.0,tt1477834,Aquaman,28.084,"[{'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Comics', 'origin_country': 'US'}, {'id': 9993, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 11565, 'logo_path': None, 'name': 'The Safran Company', 'origin_country': 'US'}, {'id': 112502, 'logo_path': None, 'name': 'Rodeo FX', 'origin_country': ''}, {'id': 112611, 'logo_path': None, 'name': 'Panoramic Pictures', 'origin_country': 'CA'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-12-07,1143689193.0,144.0,Aquaman,6.8,7431.0
5,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}]",517141.0,,In The Mood For Surrealism or 8021,0.619,"[{'id': 108096, 'logo_path': None, 'name': 'Walid Motion Pictures Co., Ltd', 'origin_country': ''}]","[{'iso_3166_1': 'EG', 'name': 'Egypt'}]",2018-04-24,1000000000.0,2.0,In The Mood For Surrealism or 8021,0.0,0.0
6,52000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",424694.0,tt1727824,Bohemian Rhapsody,40.399,"[{'id': 3281, 'logo_path': '/8tMybAieh64uzvm8knSjXOFX8Qc.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 508, 'logo_path': '/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}, {'id': 90995, 'logo_path': None, 'name': 'Queen Films', 'origin_country': 'GB'}, {'id': 11391, 'logo_path': None, 'name': 'Tribeca Productions', 'origin_country': 'US'}, {'id': 10104, 'logo_path': '/hNuGhsKVlmhnwSRcmOejDBDjh6w.png', 'name': 'New Regency Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-10-24,894027543.0,135.0,Bohemian Rhapsody,8.0,9294.0
7,116000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",335983.0,tt1270797,Venom,42.301,"[{'id': 31828, 'logo_path': None, 'name': 'Avi Arad Productions', 'origin_country': 'US'}, {'id': 53462, 'logo_path': None, 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 84041, 'logo_path': None, 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-09-28,855013954.0,112.0,Venom,6.6,7501.0
8,178000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",353081.0,tt4912910,Mission: Impossible - Fallout,27.511,"[{'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 21777, 'logo_path': None, 'name': 'TC Productions', 'origin_country': ''}, {'id': 69484, 'logo_path': '/2xtmvbEse87LM7OJXVksv7DToZx.png', 'name': 'Alibaba Pictures Group', 'origin_country': 'CN'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'NO', 'name': 'Norway'}]",2018-07-13,791017452.0,148.0,Mission: Impossible - Fallout,7.3,4354.0
9,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",383498.0,tt5463162,Deadpool 2,37.664,"[{'id': 7505, 'logo_path': '/837VMM4wOkODc1idNxGT0KQJlej.png', 'name': 'Marvel Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-05-10,741547413.0,121.0,Deadpool 2,7.5,9931.0
