,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
0,76.719,15926,False,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,299536,False,/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg,en,Avengers: Infinity War,"[28, 12, 878]",Avengers: Infinity War,8.3,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25
1,36.027,13710,False,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,284054,False,/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg,en,Black Panther,"[28, 12, 14, 878]",Black Panther,7.4,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",2018-02-13
2,34.309,6615,False,/c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg,351286,False,/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg,en,Jurassic World: Fallen Kingdom,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.5,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar, so Claire Dearing, the former park manager, recruits Owen Grady to help prevent the extinction of the dinosaurs once again.",2018-06-06
3,26.936,7275,False,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,260513,False,/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,en,Incredibles 2,"[28, 12, 16, 10751]",Incredibles 2,7.5,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",2018-06-14
4,28.084,7430,False,/5Kg76ldv7VxeX9YlcQXiowHgdX6.jpg,297802,False,/9QusGjxcYvfPD1THg6oW3RLeNn7.jpg,en,Aquaman,"[28, 12, 14]",Aquaman,6.8,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",2018-12-07
5,0.619,0,False,,517141,False,,en,In The Mood For Surrealism or 8021,"[28, 18, 35, 99]",In The Mood For Surrealism or 8021,0.0,An exploration of the world of the secret organizations and free masonry. A two - minute - epic revealing what the world has become with morals' absence in every aspect of life.,2018-04-24
6,40.399,9292,False,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,424694,False,/93xA62uLd5CwMOAs37eQ7vPc1iV.jpg,en,Bohemian Rhapsody,"[18, 10402]",Bohemian Rhapsody,8.0,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",2018-10-24
7,42.301,7501,False,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,335983,False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,en,Venom,"[28, 878]",Venom,6.6,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",2018-09-28
8,27.511,4353,False,/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg,353081,False,/aw4FOsWr2FY373nKSxbpNi3fz4F.jpg,en,Mission: Impossible - Fallout,"[28, 12]",Mission: Impossible - Fallout,7.3,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",2018-07-13
9,37.664,9931,False,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,383498,False,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,en,Deadpool 2,"[28, 12, 35]",Deadpool 2,7.5,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,2018-05-10
10,28.354,5756,False,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,338952,False,/qrtRKRzoNkf5vemO9tJ2Y4DrHxQ.jpg,en,Fantastic Beasts: The Crimes of Grindelwald,"[12, 14, 10751]",Fantastic Beasts: The Crimes of Grindelwald,6.9,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",2018-11-14
11,28.433,7321,False,/eivQmS3wqzqnQWILHLc4FsEfcXP.jpg,363088,False,/6P3c80EOm7BodndGBUAJHHsHKrp.jpg,en,Ant-Man and the Wasp,"[28, 12, 35, 878]",Ant-Man and the Wasp,7.0,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",2018-07-04
12,21.304,7996,False,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,333339,False,/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg,en,Ready Player One,"[12, 878]",Ready Player One,7.6,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",2018-03-28
13,30.867,3458,False,/qEnH5meR381iMpmCumAIMswcQw2.jpg,404368,False,/88poTBTafMXaz73vYi3c74g0y2k.jpg,en,Ralph Breaks the Internet,"[12, 16, 35, 10751]",Ralph Breaks the Internet,7.2,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, ""Sugar Rush."" In way over their heads, Ralph and Vanellope rely on the citizens of the internet -- the netizens -- to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",2018-11-20
